name,download_url,screen_name
production_tea.tif,https://drive.google.com/uc?export=download&id=1zRBr5yhB0s_QBzONjrswg-wNujTtpdSd,tea
production_sweet potato.tif,https://drive.google.com/uc?export=download&id=1hZ0mN7v7zITvf48oSCJdX5Jlri8zY-Z9,sweet potato
production_sunflower.tif,https://drive.google.com/uc?export=download&id=14c3hr7GM_y2bSXLNi_qX7PtVokgaNhKp,sunflower
production_sugarcane.tif,https://drive.google.com/uc?export=download&id=13kLGT11-YJrTsnjnUTpqVCnp1FRD3uZO,sugarcane
production_sugarbeet.tif,https://drive.google.com/uc?export=download&id=1kStlhTouN_2qhcViAwJZTJv6gNql1bcN,sugarbeet
production_soybean.tif,https://drive.google.com/uc?export=download&id=1LdOGc6_9say-bmC4HFZ_3VqQ7DQeKsMD,soybean
production_sorghum.tif,https://drive.google.com/uc?export=download&id=1JdVhA4fyGILDpNjQ0VH6lrxS9xukuahv,sorghum
production_small millet.tif,https://drive.google.com/uc?export=download&id=1HDvMx1ZmpE83Uw0BTsIbnMezU-6sNK-m,small millet
production_sesameseed.tif,https://drive.google.com/uc?export=download&id=1aiMLrS2gUtgqs0FWKqhWJQUt0jmbeHPD,sesameseed
production_robusta coffee.tif,https://drive.google.com/uc?export=download&id=1W8Yk8DmpgrjVg21BzRmAIrGluWwHv6RC,robusta coffee
production_rice.tif,https://drive.google.com/uc?export=download&id=1cPxqafiwDE3T5vkoHTBB0x3YlCqUaStH,rice
production_rest of crops.tif,https://drive.google.com/uc?export=download&id=1yFW8gOkvISdq2CnuqbwCcnEl982MwzV7,rest of crops
production_rapeseed.tif,https://drive.google.com/uc?export=download&id=1_LlL8GhW8P73tgz1p-J2dlC6qnUm4gNs,rapeseed
production_potato.tif,https://drive.google.com/uc?export=download&id=1lIGq3l9wePhmBaT60sOdBiSvV1gtYKuO,potato
production_plantain.tif,https://drive.google.com/uc?export=download&id=18tHyXACbLGeHUm7hZv_L18yb9XWHiwH2,plantain
production_pigeonpea.tif,https://drive.google.com/uc?export=download&id=1lRorHB-M1hq02g-1cpk5YNQy_gLkAti0,pigeonpea
production_pearl millet.tif,https://drive.google.com/uc?export=download&id=1A7jjxvcI5j7YYDnD4bfTxcuNsKD7QaYk,pearl millet
production_other roots.tif,https://drive.google.com/uc?export=download&id=1I00uspYUXqi8RumCtlCatHgJqvAmZseB,other roots
production_other pulses.tif,https://drive.google.com/uc?export=download&id=1U3qyfATQxkq6VEwVmmoyH0ezytYCN14O,other pulses
production_other oil crops.tif,https://drive.google.com/uc?export=download&id=1PdR7SQOD8XC_WvD5nVdP226TxpIINMGK,other oil crops
production_other fibre crops.tif,https://drive.google.com/uc?export=download&id=1eF2ne9Y1iNZ5XgeaGDefV8g3I7w2Gv_G,other fibre crops
production_other cereals.tif,https://drive.google.com/uc?export=download&id=1R0c0FvN64hrO3oDJkeNgEqi7n1xQ57km,other cereals
production_oilpalm.tif,https://drive.google.com/uc?export=download&id=1brYzk_3HguEgYT71PyyFPzb7SbpY7cby,oilpalm
production_maize.tif,https://drive.google.com/uc?export=download&id=1Lk1i_hxjiAtsTgm2rbLjPVmVHzvavXoo,maize
